Closed Quarter,Closed Month,Closed Week,Closed Day,Case Id,Analyst,Category,Language,Start date,Blocked,Cust Time Hours,Agent Time Hours,Consult,Closing Channel,Opening Channel,Complexity,Incoming Messages,Vendor Team,Product,Total Resolution Time x Blocked By,Num Outgoing Emails,Total Resolution Time Incl Weekends Hours,Total time to Assign in Hours,Time for First Response in Hours,Consult Total Resolution Time,Total Resolution Time WITHOUT WEEKENDS,Manual Followup Count,OverallSat,Case Region,PL,SM,Start (IST) Time,Day,Hour,Agentime/Itr.
2018-04-01,2018-06-01,2018-06-03,2018-06-05,3-851322184,shreyasgupta,Audience,en,2018-05-17,FALSE,267.56,195.55,FALSE,EMAIL,EMAIL,Easy,15,HCL HYD PLAT,Platforms,463.12,17,463.12,2.62,6.53,0.00,319.12,3,,EMEA,mvallamdas,sgangadhari,2018-05-17 13:50:04,Thu,13,11.50
2018-04-01,2018-06-01,2018-06-10,2018-06-11,6-121122050,pbharathi,Programmatic Direct (Deals),en,2018-05-23,FALSE,390.68,53.05,TRUE,EMAIL,EMAIL,Easy,6,HCL HYD PLAT,Platforms,462.93,13,462.93,0.86,4.87,19.20,318.93,3,,EMEA,vereddy,sgangadhari,2018-05-23 14:24:34,Wed,14,4.08
2018-04-01,2018-05-01,2018-05-20,2018-05-21,1-936121482,akudo,UNCLEAR ROOT CAUSE (aka I don't know yet),ja,2018-05-01,FALSE,297.87,164.73,FALSE,EMAIL,EMAIL,null,5,HCL JAP PLAT,Platforms,462.60,7,462.60,3.75,4.74,0.00,318.60,2,,JAPAN,nkone,saikarthik,2018-05-02 7:14:18,Wed,7,23.53
2018-04-01,2018-04-01,2018-04-15,2018-04-17,2-538121473,bpullivarthi,Reporting,en,2018-03-29,FALSE,150.68,54.96,TRUE,EMAIL,CHAT,Medium,0,HCL HYD PLAT,Consult - Platforms,458.93,5,458.93,0.00,0.01,253.29,314.93,1,,NA,nayaka,sbalasundaram,2018-03-29 21:12:28,Thu,21,10.99
2018-04-01,2018-04-01,2018-04-22,2018-04-23,6-039622060,rkhurseed,Programmatic Direct (Deals),en,2018-04-04,FALSE,411.87,46.24,FALSE,EMAIL,EMAIL,Easy,8,HCL HYD PLAT,Platforms,458.11,9,458.11,0.25,4.79,0.00,314.11,1,,NA,lucyk,sbalasundaram,2018-04-04 21:41:04,Wed,21,5.14
2018-04-01,2018-06-01,2018-06-10,2018-06-12,8-427922216,tpadala,Audience,en,2018-05-24,FALSE,268.93,188.06,FALSE,EMAIL,EMAIL,Medium,17,HCL HYD PLAT,Platforms,456.99,9,456.99,0.93,5.21,0.00,312.99,2,,EMEA,vereddy,sgangadhari,2018-05-24 20:12:13,Thu,20,20.90
2018-04-01,2018-06-01,2018-06-24,2018-06-25,5-913722280,anathak,Programmatic Direct (Deals),en,2018-06-06,FALSE,445.07,9.52,FALSE,EMAIL,EMAIL,Easy,4,HCL HYD MON,Consult - Monetization,454.59,4,454.59,4.31,5.31,0.00,310.59,0,,NA,arghyamitra,mshabbir,2018-06-06 23:40:26,Wed,23,2.38
2018-04-01,2018-04-01,2018-04-29,2018-04-30,0-074521604,shreyasgupta,Order & Line Item Delivery (Adserving),en,2018-04-11,FALSE,302.44,141.36,TRUE,EMAIL,EMAIL,Easy,8,HCL HYD PLAT,Platforms,454.34,15,454.34,0.00,4.94,8.02,310.34,4,100,EMEA,mvallamdas,sgangadhari,2018-04-11 18:12:06,Wed,18,9.42
2018-04-01,2018-04-01,2018-04-01,2018-04-03,1-678721461,abandela,Order & Line Item Setup,en,2018-03-16,FALSE,380.18,56.44,FALSE,EMAIL,EMAIL,Easy,4,HCL HYD PLAT,Platforms,436.61,10,436.61,0.96,8.71,0.00,292.61,4,,EMEA,enagabushanam,sgangadhari,2018-03-16 14:30:53,Fri,14,5.64
2018-04-01,2018-06-01,2018-06-24,2018-06-25,9-867522423,nkone,Reporting,en,2018-06-07,FALSE,382.07,33.62,TRUE,EMAIL,EMAIL,Easy,9,HCL CHN PLAT,Platforms,432.37,14,432.37,0.03,1.70,16.67,288.37,4,,CHINA,nkone,saikarthik,2018-06-08 6:21:53,Fri,6,2.40
2018-04-01,2018-04-01,2018-04-01,2018-04-02,9-568221223,sunitam,Publisher Controls,en,2018-03-15,FALSE,417.89,13.12,FALSE,EMAIL,EMAIL,Hard,2,HCL HYD MON,Monetization,431.01,7,431.01,2.36,8.08,0.00,287.01,1,,EMEA,malavikas,ashwint,2018-03-15 17:12:08,Thu,17,1.87
2018-04-01,2018-04-01,2018-04-22,2018-04-23,6-127221816,vbandlapalli,Programmatic Direct (Deals),en,2018-04-05,FALSE,341.12,55.58,TRUE,EMAIL,EMAIL,Medium,5,HCL HYD MON,Monetization,429.78,14,429.78,6.68,11.93,33.08,285.78,5,,NA,arghyamitra,mshabbir,2018-04-06 6:02:58,Fri,6,3.97
2018-04-01,2018-06-01,2018-06-10,2018-06-10,8-543822259,koduganti,Yield Management,en,2018-05-24,FALSE,111.40,161.55,TRUE,EMAIL,EMAIL,Hard,10,HCL HYD MON,Monetization,420.26,13,420.26,11.22,16.59,147.31,279.05,4,,APAC,praveenrao,larasur,2018-05-24 21:26:45,Thu,21,12.43
2018-04-01,2018-04-01,2018-04-01,2018-04-02,2-759721426,pyasheng,Tagging,ko,2018-03-15,FALSE,405.95,8.83,FALSE,EMAIL,EMAIL,Easy,1,HCL CHN PLAT,Platforms,414.77,6,414.77,0.26,7.29,0.00,270.77,1,,CHINA,nkone,saikarthik,2018-03-16 6:55:43,Fri,6,1.47
2018-04-01,2018-06-01,2018-06-03,2018-06-04,8-060122266,mimohammed,Administration,en,2018-05-18,FALSE,313.86,97.69,FALSE,EMAIL,EMAIL,Easy,8,HCL HYD MON,Monetization,411.55,12,411.55,1.83,4.60,0.00,267.55,4,,NA,jjaleel,mshabbir,2018-05-18 22:43:24,Fri,22,8.14
2018-04-01,2018-04-01,2018-04-15,2018-04-16,5-093621396,nriccobelli,"Dynamic Allocation (AdX/AdSense Backfill, EDA)",es,2018-03-30,FALSE,224.86,177.77,TRUE,EMAIL,EMAIL,Medium,15,HCL SAO MON,Monetization,409.56,14,409.56,0.00,75.48,3.90,265.56,1,,LATAM,kvennamaneni,saikarthik,2018-03-30 23:22:04,Fri,23,12.70
2018-04-01,2018-04-01,2018-04-01,2018-04-03,3-887221629,abandela,Tagging,en,2018-03-17,FALSE,181.95,221.39,TRUE,EMAIL,EMAIL,Easy,9,HCL HYD PLAT,Platforms,407.46,13,407.46,43.03,55.35,4.13,268.39,5,,EMEA,enagabushanam,sgangadhari,2018-03-17 17:25:36,Sat,17,17.03
2018-04-01,2018-04-01,2018-04-22,2018-04-23,5-018621333,erepalli,Yield Management,en,2018-04-06,FALSE,189.00,111.79,TRUE,EMAIL,EMAIL,Easy,5,HCL HYD MON,Monetization,406.98,10,406.98,66.29,74.14,106.19,262.98,3,,NA,jjaleel,mshabbir,2018-04-07 1:44:37,Sat,1,11.18
2018-04-01,2018-06-01,2018-06-17,2018-06-17,3-977422194,motokit,Measurement,ja,2018-05-31,FALSE,305.80,99.50,TRUE,EMAIL,EMAIL,Medium,6,HCL JAP PLAT,Monetization,406.93,9,406.93,0.20,1.27,1.63,265.41,2,,JAPAN,nkone,saikarthik,2018-06-01 11:05:09,Fri,11,11.06
2018-04-01,2018-06-01,2018-06-03,2018-06-07,7-358122294,vsobharaj,Programmatic Direct (Deals),en,2018-05-21,FALSE,352.25,49.55,FALSE,EMAIL,EMAIL,Easy,21,HCL HYD MON,Monetization,401.80,8,401.80,1.26,3.47,0.00,305.80,2,100,NA,vbandikalla,mshabbir,2018-05-22 2:40:44,Tue,2,6.19
2018-04-01,2018-04-01,2018-04-08,2018-04-11,3-536621348,spolavarapu,Order & Line Item Setup,en,2018-03-26,FALSE,343.59,52.00,FALSE,EMAIL,EMAIL,Easy,6,HCL HYD PLAT,Platforms,395.59,13,395.59,0.00,7.00,0.00,299.59,4,,EMEA,vereddy,sgangadhari,2018-03-26 14:54:49,Mon,14,4.00
2018-04-01,2018-04-01,2018-04-22,2018-04-23,1-213921907,djavvaji,Video,en,2018-04-07,FALSE,263.76,98.86,TRUE,EMAIL,EMAIL,Medium,5,HCL HYD PLAT,Platforms,393.89,9,393.89,37.68,40.84,31.27,259.78,2,,NA,djavvaji,vipinnair,2018-04-07 22:23:23,Sat,22,10.98
2018-04-01,2018-05-01,2018-04-29,2018-05-03,4-249821484,erepalli,Policy,en,2018-04-17,FALSE,225.87,105.47,TRUE,EMAIL,EMAIL,Medium,11,HCL HYD MON,Platforms,391.43,12,391.43,1.68,4.54,60.09,295.43,2,,NA,jjaleel,mshabbir,2018-04-17 19:42:01,Tue,19,8.79
2018-04-01,2018-05-01,2018-04-29,2018-05-03,3-506721729,sparambath,XSM,en,2018-04-17,TRUE,202.70,114.12,TRUE,EMAIL,EMAIL,Medium,11,HCL HYD PLAT,Platforms,390.68,12,390.69,1.41,8.09,73.86,294.69,3,,NA,djavvaji,vipinnair,2018-04-17 20:37:39,Tue,20,9.51
2018-04-01,2018-06-01,2018-06-10,2018-06-14,7-321522268,shreyasgupta,Formats & Creative Trafficking,en,2018-05-29,FALSE,328.13,60.18,FALSE,EMAIL,EMAIL,Easy,18,HCL HYD PLAT,Platforms,388.31,16,388.31,0.54,2.11,0.00,292.31,3,,EMEA,mvallamdas,sgangadhari,2018-05-29 15:04:21,Tue,15,3.76
2018-04-01,2018-06-01,2018-06-10,2018-06-14,2-292322636,sunitam,Publisher Controls,en,2018-05-29,FALSE,289.77,48.67,TRUE,EMAIL,EMAIL,Hard,4,HCL HYD MON,Monetization,388.05,9,388.05,0.28,5.23,49.61,292.05,2,,EMEA,nitikas,ashwint,2018-05-29 19:02:08,Tue,19,5.41
2018-04-01,2018-06-01,2018-06-10,2018-06-13,6-835021894,soundaryae,Publisher Controls,en,2018-05-28,FALSE,189.58,126.32,TRUE,EMAIL,EMAIL,Medium,8,HCL HYD MON,Monetization,384.93,11,384.93,18.77,28.74,69.03,288.93,3,0,NA,vbandikalla,mshabbir,2018-05-29 0:11:56,Tue,0,11.48
2018-04-01,2018-04-01,2018-04-01,2018-04-03,0-010821429,arasani,Policy,en,2018-03-18,FALSE,327.44,33.60,FALSE,EMAIL,EMAIL,Medium,8,HCL HYD MON,Monetization,383.01,10,383.01,0.00,26.00,0.00,268.58,3,,EMEA,aaluguri,ashwint,2018-03-18 18:04:19,Sun,18,3.36
2018-04-01,2018-04-01,2018-04-15,2018-04-19,3-590821534,smaekawa,Order & Line Item Delivery (Adserving),ja,2018-04-04,FALSE,345.16,36.00,FALSE,EMAIL,EMAIL,Easy,11,HCL JAP PLAT,Platforms,381.16,8,381.16,16.43,18.34,0.00,285.16,0,,JAPAN,nkone,saikarthik,2018-04-04 14:37:29,Wed,14,4.50
2018-04-01,2018-04-01,2018-04-08,2018-04-12,5-610821780,pampara,Programmatic Direct (Deals),en,2018-03-27,FALSE,243.50,78.87,TRUE,EMAIL,EMAIL,Medium,5,HCL HYD PLAT,Platforms,380.87,11,380.87,0.15,2.55,58.49,284.87,3,,NA,pampara,vipinnair,2018-03-28 4:26:57,Wed,4,7.17
2018-04-01,2018-04-01,2018-04-08,2018-04-10,0-434921411,abandela,Reporting,en,2018-03-26,FALSE,188.19,98.66,TRUE,EMAIL,CHAT,Easy,10,HCL HYD PLAT,Consult - Platforms,370.45,14,370.45,0.01,0.01,83.60,274.45,3,,EMEA,enagabushanam,sgangadhari,2018-03-26 14:34:42,Mon,14,7.05
2018-04-01,2018-06-01,2018-06-03,2018-06-04,3-359721933,akulaaditya,Native,en,2018-05-19,FALSE,289.28,75.78,TRUE,EMAIL,EMAIL,Easy,5,HCL HYD MON,Monetization,369.64,12,369.64,24.78,28.18,4.58,248.84,3,,EMEA,sabaiqbal,ashwint,2018-05-20 11:41:36,Sun,11,6.32
2018-04-01,2018-06-01,2018-06-17,2018-06-20,7-226522474,sunitam,"Dynamic Allocation (AdX/AdSense Backfill, EDA)",en,2018-06-05,FALSE,257.94,70.98,TRUE,EMAIL,EMAIL,Hard,5,HCL HYD MON,Monetization,365.64,11,365.64,0.23,5.23,36.72,269.64,3,,EMEA,nitikas,ashwint,2018-06-05 13:29:22,Tue,13,6.45
2018-04-01,2018-06-01,2018-06-24,2018-06-26,2-504022512,calankrita,Formats & Creative Trafficking,en,2018-06-11,FALSE,295.10,52.54,TRUE,EMAIL,EMAIL,Medium,5,HCL HYD PLAT,Platforms,364.38,11,364.38,0.52,2.54,16.74,268.38,3,,EMEA,enagabushanam,sgangadhari,2018-06-11 19:33:22,Mon,19,4.78
2018-04-01,2018-05-01,2018-05-27,2018-05-29,3-668121951,bpullivarthi,Native,en,2018-05-14,FALSE,192.13,86.53,TRUE,EMAIL,EMAIL,Medium,11,HCL HYD PLAT,Platforms,364.27,15,364.27,2.36,5.13,85.62,268.27,4,,NA,nayaka,sbalasundaram,2018-05-14 18:45:53,Mon,18,5.77
2018-04-01,2018-05-01,2018-04-29,2018-05-03,0-216921944,sranjithkumar,Reporting,en,2018-04-18,FALSE,324.67,35.03,TRUE,EMAIL,EMAIL,Medium,3,HCL HYD PLAT,Platforms,363.98,8,363.98,0.60,6.74,4.28,267.98,3,,NA,pampara,sbalasundaram,2018-04-19 1:38:28,Thu,1,4.38
2018-04-01,2018-05-01,2018-05-27,2018-05-30,1-617722473,shrutivinod,Forecasting (IMF),en,2018-05-15,FALSE,314.17,40.86,TRUE,EMAIL,EMAIL,Medium,7,HCL HYD PLAT,Platforms,363.15,14,363.15,0.24,8.04,8.12,267.15,4,,APAC,susaurabh,vsunda,2018-05-16 6:17:37,Wed,6,2.92
2018-04-01,2018-04-01,2018-04-29,2018-04-30,4-538722151,vipinnair,Reporting,en,2018-04-15,FALSE,292.01,46.52,FALSE,EMAIL,EMAIL,Easy,5,HCL HYD PLAT,Platforms,362.80,8,362.80,0.00,24.27,0.00,254.45,2,,NA,vipinnair,vipinnair,2018-04-16 0:08:51,Mon,0,5.82
2018-04-01,2018-05-01,2018-05-13,2018-05-17,7-799622457,msaheb,Programmatic Direct (Deals),en,2018-05-01,FALSE,140.43,146.77,TRUE,EMAIL,EMAIL,Medium,12,HCL HYD PLAT,Platforms,360.88,12,360.88,0.12,1.91,73.67,264.88,4,,APAC,mrengarajan,vsunda,2018-05-02 12:23:57,Wed,12,12.23
2018-04-01,2018-05-01,2018-05-27,2018-05-29,5-461721984,vsantosh,Publisher Controls,en,2018-05-14,FALSE,142.40,103.51,TRUE,EMAIL,EMAIL,Medium,12,HCL HYD MON,Monetization,360.26,15,360.26,0.00,29.77,114.34,264.26,4,,NA,arghyamitra,mshabbir,2018-05-15 0:58:23,Tue,0,6.90
2018-04-01,2018-06-01,2018-06-24,2018-06-26,8-601122495,jkunjumon,Reporting,en,2018-06-11,FALSE,319.09,40.45,FALSE,EMAIL,EMAIL,Medium,14,HCL HYD PLAT,Platforms,359.54,20,359.54,1.56,2.09,0.00,263.54,6,,APAC,susaurabh,vsunda,2018-06-12 7:04:32,Tue,7,2.02
2018-04-01,2018-04-01,2018-04-08,2018-04-10,5-622921176,shreyasgupta,Account Management,en,2018-03-26,FALSE,183.57,172.06,FALSE,EMAIL,EMAIL,Easy,7,HCL HYD PLAT,Platforms,358.92,7,358.92,0.00,3.28,0.00,262.92,1,,EMEA,mvallamdas,sgangadhari,2018-03-26 19:30:56,Mon,19,24.58
2018-04-01,2018-04-01,2018-04-22,2018-04-24,4-987122022,mimohammed,Policy,en,2018-04-09,FALSE,307.97,32.87,TRUE,EMAIL,EMAIL,Medium,1,HCL HYD MON,Monetization,353.88,3,353.88,1.11,22.34,13.04,257.88,1,,NA,vbandikalla,mshabbir,2018-04-10 3:07:56,Tue,3,10.96
2018-04-01,2018-06-01,2018-06-03,2018-06-06,9-357122107,mimohammed,Native,en,2018-05-23,FALSE,130.38,211.44,TRUE,EMAIL,EMAIL,Easy,6,HCL HYD MON,Monetization,351.70,9,351.70,15.63,18.49,9.88,255.70,3,,NA,jjaleel,mshabbir,2018-05-23 12:39:47,Wed,12,23.49
2018-04-01,2018-04-01,2018-04-01,2018-04-03,9-381421382,vinjamuriki,Measurement,en,2018-03-20,FALSE,223.63,117.58,FALSE,EMAIL,EMAIL,Easy,10,HCL HYD PLAT,Monetization,341.21,12,341.21,0.18,4.37,0.00,245.21,3,,EMEA,enagabushanam,sgangadhari,2018-03-20 16:17:19,Tue,16,9.80
